name,ref_id
Africa/Abidjan,1
Africa/Accra,2
Africa/Addis_Ababa,3
Africa/Algiers,4
Africa/Asmara,5
Africa/Bamako,6
Africa/Bangui,7
Africa/Banjul,8
Africa/Bissau,9
Africa/Blantyre,10
Africa/Brazzaville,11
Africa/Bujumbura,12
Africa/Cairo,13
Africa/Casablanca,14
Africa/Ceuta,15
Africa/Conakry,16
Africa/Dakar,17
Africa/Dar_es_Salaam,18
Africa/Djibouti,19
Africa/Douala,20
Africa/El_Aaiun,21
Africa/Freetown,22
Africa/Gaborone,23
Africa/Harare,24
Africa/Johannesburg,25
Africa/Juba,26
Africa/Kampala,27
Africa/Khartoum,28
Africa/Kigali,29
Africa/Kinshasa,30
Africa/Lagos,31
Africa/Libreville,32
Africa/Lome,33
Africa/Luanda,34
Africa/Lubumbashi,35
Africa/Lusaka,36
Africa/Malabo,37
Africa/Maputo,38
Africa/Maseru,39
Africa/Mbabane,40
Africa/Mogadishu,41
Africa/Monrovia,42
Africa/Nairobi,43
Africa/Ndjamena,44
Africa/Niamey,45
Africa/Nouakchott,46
Africa/Ouagadougou,47
Africa/Porto-Novo,48
Africa/Sao_Tome,49
Africa/Timbuktu,50
Africa/Tripoli,51
Africa/Tunis,52
Africa/Windhoek,53
America/Adak,54
America/Anchorage,55
America/Anguilla,56
America/Antigua,57
America/Araguaina,58
America/Argentina/Buenos_Aires,59
America/Argentina/Catamarca,60
America/Argentina/ComodRivadavia,61
America/Argentina/Cordoba,62
America/Argentina/Jujuy,63
America/Argentina/La_Rioja,64
America/Argentina/Mendoza,65
America/Argentina/Rio_Gallegos,66
America/Argentina/Salta,67
America/Argentina/San_Juan,68
America/Argentina/San_Luis,69
America/Argentina/Tucuman,70
America/Argentina/Ushuaia,71
America/Aruba,72
America/Asuncion,73
America/Atikokan,74
America/Atka,75
America/Bahia,76
America/Bahia_Banderas,77
America/Barbados,78
America/Belem,79
America/Belize,80
America/Blanc-Sablon,81
America/Boa_Vista,82
America/Bogota,83
America/Boise,84
America/Buenos_Aires,85
America/Cambridge_Bay,86
America/Campo_Grande,87
America/Cancun,88
America/Caracas,89
America/Catamarca,90
America/Cayenne,91
America/Cayman,92
America/Chicago,93
America/Chihuahua,94
America/Coral_Harbour,95
America/Cordoba,96
America/Costa_Rica,97
America/Creston,98
America/Cuiaba,99
America/Curacao,100
America/Danmarkshavn,101
America/Dawson,102
America/Dawson_Creek,103
America/Denver,104
America/Detroit,105
America/Dominica,106
America/Edmonton,107
America/Eirunepe,108
America/El_Salvador,109
America/Ensenada,110
America/Fort_Nelson,111
America/Fort_Wayne,112
America/Fortaleza,113
America/Glace_Bay,114
America/Godthab,115
America/Goose_Bay,116
America/Grand_Turk,117
America/Grenada,118
America/Guadeloupe,119
America/Guatemala,120
America/Guayaquil,121
America/Guyana,122
America/Halifax,123
America/Havana,124
America/Hermosillo,125
America/Indiana/Indianapolis,126
America/Indiana/Knox,127
America/Indiana/Marengo,128
America/Indiana/Petersburg,129
America/Indiana/Tell_City,130
America/Indiana/Vevay,131
America/Indiana/Vincennes,132
America/Indiana/Winamac,133
America/Indianapolis,134
America/Inuvik,135
America/Iqaluit,136
America/Jamaica,137
America/Jujuy,138
America/Juneau,139
America/Kentucky/Louisville,140
America/Kentucky/Monticello,141
America/Knox_IN,142
America/Kralendijk,143
America/La_Paz,144
America/Lima,145
America/Los_Angeles,146
